name,psnr_before,psnr_after,ssim_before,ssim_after,status_code
001.png,26.883966,30.540109,0.982446,0.991676,0
002.png,26.863024,30.131284,0.983012,0.991812,0
003.png,26.854787,29.631570,0.982968,0.990891,0
004.png,26.851197,29.470423,0.983253,0.990722,0
005.png,26.840660,29.425193,0.983345,0.991095,0
006.png,26.835453,29.098561,0.983570,0.989860,0
007.png,26.857336,28.806563,0.983884,0.989727,0
008.png,26.825272,28.479814,0.983397,0.987966,0
009.png,26.851755,28.168482,0.983416,0.987429,0
010.png,26.864589,27.835207,0.983258,0.985949,0
011.png,26.877672,27.619605,0.983539,0.985500,0
012.png,26.831000,27.303298,0.983071,0.984335,0
013.png,26.890877,26.898325,0.983413,0.981965,0
014.png,26.837444,26.514095,0.982907,0.981140,0
015.png,26.854922,26.150875,0.983366,0.977906,0
016.png,26.847169,26.057161,0.983025,0.977765,0
017.png,26.848039,25.616809,0.983031,0.975183,0
018.png,26.888698,25.185909,0.983487,0.974225,0
019.png,26.855123,24.807506,0.983407,0.970503,0
020.png,26.857892,24.461112,0.983359,0.967729,0
021.png,26.837730,24.139220,0.983651,0.966851,0
022.png,26.823641,23.889122,0.983248,0.963241,0
023.png,26.863913,23.532754,0.983435,0.959780,0
024.png,26.858503,23.195596,0.983504,0.955688,0
025.png,26.859871,22.887304,0.983450,0.953510,0
026.png,26.821393,22.680246,0.983260,0.949872,0
027.png,26.866994,22.386617,0.983540,0.946886,0
028.png,26.852322,21.996720,0.983119,0.939225,0
029.png,26.827792,21.717333,0.983312,0.936518,0
030.png,26.858259,21.428535,0.983211,0.930972,0
